case number,Timestamp,"What were the specific mental, medical, or physical conditions of the tenant, if any? ",Did the decision state that the tenant had children living with them?,Was the tenant employed at the time of the hearing?,"If the tenant was not employed, did the decision state the tenant was receiving any form of government assistance (e.g. OW, childcare benefits, ODSP, OSAP)?","If the tenant was employed, did the decision state any doubts about the stability of employment e.g. lack of guaranteed hours, contract work, etc.?",Did the member find the tenant had sufficient income to pay rent?,Did the decision mention the tenant lost their job leading up to or during the period of the hearing?,"Did the decision mention any other extenuating circumstances experienced by the tenant leading up to or during the period of the claim (e.g. hospitalization, death in the family, etc.)?","Did the decision mention the tenant’s difficulty finding alternative housing for any reason e.g.physical limitations, reliance on social assistance, etc.?",Did the decision state the tenant was given prior notice for the eviction?,Did the decisions state postponement would result in the tenant accruing additional arrears?,Which other specific applications of the landlord or the tenant were mentioned?,Did the decision mention the validity of an N4 eviction notice?,Payment Plan
CEL-87788-19,11/18/2020 0:31:41,1,1,1,-1,-1,1,0,1,0,0,0,"['L2', 'N8']",0,0.0
CEL-90549-19,11/18/2020 19:26:30,1,1,-1,1,0,0,0,0,0,1,1,[],0,0.5
TEL-94478-18,12/24/2020 9:19:21,0,0,0,0,0,0,0,0,0,1,0,[],0,0.0
TEL-94493-18,12/24/2020 6:13:17,0,1,0,0,0,0,0,1,0,1,0,[],0,1.0
CEL-72994-18,11/19/2020 17:02:37,1,0,0,1,0,0,0,0,0,1,0,[],0,0.5
CEL-73021-18,11/19/2020 17:14:22,0,0,0,-1,0,0,0,0,0,1,0,"['L1', 'L2']",0,0.0
CEL-73052-18,11/19/2020 17:26:00,0,0,0,0,0,1,0,0,0,1,1,"['L1', 'L2', 'N5']",0,0.0
CEL-73107-18-RV,11/19/2020 18:31:42,0,0,0,1,-1,0,0,0,0,1,1,"['L1', 'L2']",0,0.0
CEL-73197-18,11/19/2020 18:43:01,1,0,1,0,0,0,0,1,0,1,0,"['L1', 'L2', 'T2', 'T6']",0,0.0
CEL-73575-18,11/19/2020 19:07:50,0,0,0,0,0,0,0,0,0,1,0,"['L1', 'L2', 'N5', 'N8']",0,0.0
CEL-73640-18,11/19/2020 21:23:48,0,0,0,0,0,0,0,0,0,1,0,"['L1', 'L2', 'T1', 'T2', 'T6', 'N5']",0,0.0
CEL-73767-18,11/30/2020 21:23:51,0,0,0,0,0,1,0,0,0,1,0,"['L2', 'L9', 'N5']",0,0.0
CEL-90549-19,11/21/2020 19:11:58,1,1,-1,1,0,0,0,0,0,1,1,[],0,0.5
TNL-10004-18,11/21/2020 19:21:16,0,0,0,-1,-1,0,0,0,0,1,0,[],0,0.0
TNL-10206-18,11/21/2020 19:31:29,0,1,-1,1,0,0,0,0,0,1,0,[],0,0.5
TNL-10272-18,11/21/2020 20:05:51,0,0,1,-1,1,1,0,0,0,1,0,[],0,0.5
CEL-73963-18-RV,11/21/2020 20:34:14,1,1,1,0,0,1,1,1,0,1,0,"['L1', 'L4']",0,1.0
CEL-73985-18,11/21/2020 20:50:40,0,0,0,0,0,0,0,0,0,0,0,"['L1', 'T2']",0,0.0
CEL-74056-18,11/21/2020 21:09:18,0,1,0,0,0,0,0,0,0,1,0,[],0,0.5
TEL-87330-18,1/28/2021 20:19:35,0,0,0,0,0,0,0,0,0,1,0,[],0,0.5
TEL-87339-18,1/28/2021 20:21:19,0,0,0,0,0,0,0,0,0,1,1,[],0,0.0
CEL-90549-19,11/22/2020 19:45:48,1,1,-1,1,-1,0,0,0,0,1,1,[],0,0.5
CEL-64556-17-RV,12/27/2020 20:14:47,0,0,1,0,1,0,0,0,0,1,1,['L1'],0,0.0
CEL-64707-17,1/6/2021 12:23:35,0,0,0,0,0,0,0,0,0,0,1,['L1'],0,0.0
TNL-95328-17,11/23/2020 20:37:29,0,0,0,0,-1,0,0,0,0,1,1,[],0,0.0
